word,Category
හුත්තො,Gender
තෝ,Gender
පිස්සු,Disability
කෙලින්නේ,Gender
ගොන්,Disability
ගොන්,Disability
පකයෝ,Gender
පකයො,Gender
යකෝ,Gender
හුජ්ජ,Gender
මෝඩ,Disability
පක,Gender
අජූත,Gender
භූත,Gender
අවජාතක,Gender
බිජ්ජ,Gender
නොදකින්,Gender
අඩො,Gender
ගෙම්බා,Gender
හොම්බ,Gender
තලාගන්නැතිව,Gender
අවජාතක,Gender
තෝ,Gender
පට්ට,Gender
වෙස්සි,Gender
තම්බින්ට,Gender
තොට,Gender
තෝ,Gender
කැහි,Gender
වේස,Gender
හුකන,Gender
බල්ලියෝන්,Gender
තොත්,Gender
පර,Gender
වෙසිගේ,Gender
කාලකන්නි,Gender
වෙස,Gender
හැතිකරේ,Gender
තොගේ,Gender
කැහි,Gender
හුත්ත,Gender
පර,Gender
බැල්ලි,Gender
පුක,Gender
කාලකන්නි,Gender
හුත්තෝ,Gender
තොපි,Gender
හුකන්නෝ,Gender
මෝඩ,Disability
මුසලයා,Gender
බිජ්ජ,Gender
පොන්න,Gender
කාලාකණ්ණි,Gender
ඕයී,Gender
පොන්න,Gender
ඌවම,Gender
ප,Gender
සක්කිලි,Gender
කාලකන්නි,Gender
තොපි,Gender
පයිය,Gender
Teamදිගපයිය,Gender
වට්,Gender
පක්,Gender
කිම්බ,Gender
කිම්බ,Gender
කිම්බ,Gender
තෝ,Gender
කාලකණ්ණි,Gender
දේශපාලුවන්,Gender
ගොන්,Disability
පුක,Gender
බල්ලෝ,Gender
හුජ්ජ,Gender
වේසිගෙ,Gender
පුතාලා,Gender
බැල්ලිගෙ,Gender
තොපි,Gender
මැරියව්,Gender
සක්කිලි,Gender
හැත්ත,Gender
ලොල්ලෙක්,Gender
පුක,Gender
වේස,Gender
කමේ,Gender
පට්ට,Gender
ගොන්,Disability
අම්මට,Gender
හුකපන්,Gender
පොන්න,Gender
කැරි,Gender
ලොද,Gender
පිත්තමා,Gender
ගොන්,Disability
හරක්,Gender
හුකහන්,Gender
තොගෙ,Gender
බිජ්ජ,Gender
තෝ,Gender
බිජ්ජ,Gender
කපන්න,Gender
යකෝ,Gender
අවජාතකයො,Gender
තෝ,Gender
සක්කිලි,Gender
වේසිගෙ,Gender
පුතාල,Gender
බැල්ලි,Gender
තොපි,Gender
කාලකණ්ණි,Gender
අවලම්,Gender
බල්ලන්ට,Gender
හෙණ,Gender
හත,Gender
ගහනවා,Gender
සක්කිලි,Gender
පක,Gender
හුක,Gender
තොපි,Gender
පයියො,Gender
පකෝ,Gender
තෝ,Gender
හිටපන්කෝ,Gender
වේසි,Gender
වේසි,Gender
වේස,Gender
ඕකුන්,Gender
පුපට,Gender
කාලකණ්ණි,Gender
රෙද්ද,Gender
උස්සන්,Gender
වේස,Gender
මී,Gender
හරකා,Gender
පොන,Gender
පොන්න,Gender
ගොන්,Disability
බයියෙක්,Gender
බයියත්,Gender
තොට,Gender
හෙන,Gender
ගහනවා,Gender
තො,Gender
කුනු,Gender
වෙන්න,Gender
කාලකණ්ණි,Gender
පකීර්ද,Gender
පල,Gender
ගොන්,Disability
හුත්ත,Gender
නෙදකින්,Gender
පොන්සියෝ,Gender
බඩුවක්,Gender
බිජ්ජ,Gender
නොදකින්,Gender
තෝ,Gender
පල,Gender
සක්කිලි,Gender
පාහරයන්ගෙ,Gender
සක්කිලි,Gender
කාලකණ්ණි,Gender
බොරුකාර,Gender
ලපයෝ,Gender
හොර,Gender
හැත්ත,Gender
බැල්ලි,Gender
බල්ලා,Gender
න්නයාගේ,Gender
කැරි,Gender
වේස,Gender
කිම්බ,Gender
මුසලයා,Gender
හුකලා,Gender
තෝ,Gender
පොන්න,Gender
පකයා,Gender
හුත්තො,Gender
පයිය,Gender
පුක්,Gender
චාරය,Gender
පුක,Gender
ගෑනියෙ,Gender
තොට,Gender
රෙද්ද,Gender
සාප,Gender
සාපයක්,Gender
පකෝ,Gender
තොපිල,Gender
පයිය,Gender
කිම්බෙක්,Gender
පුක,Gender
කරපංකෝ,Gender
රෙද්ද,Gender
බරී,Gender
කැල්ලා,Gender
තොට,Gender
පුකේ,Gender
හුත්තෝ,Gender
ලැජ්ජ,Gender
යකෝ,Gender
තෝ,Gender
තෝ,Gender
යකෝ,Gender
නාකියා,Gender
යකෝ,Gender
තොපි,Gender
නොදකින්,Gender
හුජ්ජ,Gender
කොටියෝ,Gender
හෙනයක්,Gender
පලයන්,Gender
මැරියන්,Gender
වේසිගේ,Gender
පුතා,Gender
ගොන්,Disability
කැටයම්,Gender
වේසි,Gender
තොපි,Gender
ඩෝ,Gender
පිස්සා,Gender
පොන්න,Gender
පුක,Gender
ලබ්බ,Gender
ගොන්,Disability
මෝඩ,Disability
ගොන්,Disability
සාපයක්,Gender
බල්ලා,Gender
කැරි,Gender
වේස,Gender
බැල්ලිට,Gender
හුත්ත,Gender
පක්කු,Gender
කිම්බ,Gender
පුත්තලම්,Gender
බූරුවො,Gender
මැරිල,Gender
පල,Gender
පයිය,Gender
කපලා,Gender
තොට,Gender
හුජ්ජ,Gender
තෝ,Gender
ගොන්,Disability
බිජ්ජෙක්,Gender
පල,Gender
හුත්තී,Gender
තෝ,Gender
රෙද්දම,Gender
සක්කිලි,Gender
සක්කිලිම,Gender
පුක,Gender
වෙවුලන,Gender
පොන්නයොත්,Gender
පොන්නයෙක්,Gender
නෙමෙයිනේ,Gender
රෙද්ද,Gender
ඌ,Gender
පකෝ,Gender
ඌව,Gender
තෝ,Gender
තොගේ,Gender
මකබෑවියං,Gender
ගොං,Gender
රිලවො,Gender
පො,Gender
කැඳයා,Gender
පඹයා,Gender
තෝ,Gender
සාපේ,Gender
තොට,Gender
හෙනම,Gender
ගහපං,Gender
ගොං,Gender
හුජ්ජ,Gender
බිජ්ජ,Gender
කාලකණ්ණි,Gender
අවජාතක,Gender
බල්ලොත්,Gender
සක්කිලි,Gender
බැල්ලි,Gender
කාලකණ්ණි,Gender
ලබ්බවල්,Gender
හුජ්ජ,Gender
වේස,Gender
බල්ලව,Gender
පර,Gender
සක්කිලි,Gender
පයිය,Gender
කුපේ,Gender
සක්කිලි,Gender
කිම්බ,Gender
කිම්බ,Gender
කිම්බ,Gender
කිම්බගෙ,Gender
කිම්බ,Gender
කිම්බට,Gender
කිම්බ,Gender
කිම්බ,Gender
කිම්බ,Gender
කිම්බ,Gender
වේස,Gender
හැත්ත,Gender
තෝවා,Gender
ගොන්,Disability
පකෙක්,Gender
කටට,Gender
ගන්න,Gender
තුට්ටු,Gender
දෙකේ,Gender
සක්කිලි,Gender
බිජ්ජ,Gender
උල්ද,Gender
පුක,Gender
පොන්න,Gender
පොන්න,Gender
අවජාතක,Gender
හැත්ත,Gender
හිඟන්නා,Gender
තෝ,Gender
පාහර,Gender
හිඟන්නෙක්,Gender
අලුගුත්තේරු,Gender
බල්ලා,Gender
පයිය,Gender
උගේ,Gender
තොපිට,Gender
සාපලත්,Gender
හැත්ත,Gender
තෝ,Gender
පක,Gender
බිජ්ජ,Gender
ඔබන,Gender
තෝ,Gender
සාපයක්ම,Gender
රෙද්ද,Gender
උස්සන්ඩ,Gender
වේස,Gender
හුත්තවල්ම,Gender
කාලකණ්ණි,Gender
කාලකන්නි,Gender
යකෝ,Gender
වැලහින්න,Gender
හුත්තෝ,Gender
පයිය,Gender
කපන්,Gender
වේසියක්,Gender
නෙද්දකින්,Gender
පුක,Gender
පොලොවේ,Gender
ගහගන්න,Gender
හෙනම,Gender
ගහපන්,Gender
පට්ට,Gender
බැල්ලි,Gender
තොට,Gender
හැමිනුනත්,Gender
වේසියක්,Gender
වේසියක්,Gender
හු,Gender
ඇන්නම,Gender
ඇනගත්තු,Gender
පුකටද,Gender
පිස්සු,Disability
කාලකණ්ණි,Gender
පොන්න,Gender
හැත්ත,Gender
නොදකින්,Gender
හු,Gender
පාදඩ,Gender
අවජාතක,Gender
පොන්නයන්ට,Gender
හැත්ත,Gender
කාලකන්නි,Gender
පජාති,Race
සක්කිලි,Gender
හුජ්ජ,Gender
කොල්ල,Gender
ගොන්,Disability
බඩුවක්,Gender
පොන්න,Gender
ගොන්නු,Disability
අවජාතක,Gender
අවජාතකයා,Gender
අම්මගෙ,Gender
රෙද්ද,Gender
වෑල,Gender
අවජාතක,Gender
පකයෝ,Gender
තෝ,Gender
පකය,Gender
අවජාතක,Gender
පොන්නයෙක්ද,Gender
හුත්තෝ,Gender
වඳ,Gender
පිම්පියට,Gender
වේස,Gender
ගෑණි,Gender
නාකි,Gender
නිළිය,Gender
ඌවත්,Gender
හි,Gender
මෝඩ,Disability
තොපිලගේ,Gender
ලබ්බේ,Gender
තෝ,Gender
හුකයි,Gender
කොට,Gender
පකයා,Gender
තොපි,Gender
මැරෙන,Gender
එක,Gender
රටට,Gender
සම්පතක්,Gender
වේසිගේ,Gender
මානසික,Gender
රොගියාට,Gender
මොලෙ,Gender
අවුල්,Gender
ගොන්,Disability
ගොන්,Disability
තෝ,Gender
කැරි,Gender
වේසිගේ,Gender
බඩුව,Gender
බඩුව,Gender
පකයා,Gender
මෝඩ,Disability
හුත්තලා,Gender
ඔටු,Gender
ලබ්බා,Gender
පුකේ,Gender
අරින්න,Gender
ගොබ්බ,Gender
පොන්නයෝ,Gender
හමනෙන්නඩම,Gender
මෙලෝ,Gender
රහක්,Gender
නාකි,Gender
හිවල්ලු,Gender
වස්තු,Gender
බිජ්ජ,Gender
නොද්දකින්,Gender
ගොබ්බ,Gender
හැත්ත,Gender
සක්කිලි,Gender
සරංගලයක්,Gender
මිනීමරු,Gender
වේසිගෙ,Gender
පුක,Gender
කාලකණ්ණි,Gender
කාලකණ්ණින්ය,Gender
කාලකණ්ණියෙක්ද,Gender
කාලකණ්ණි,Gender
තෝ,Gender
මාර,Gender
ගොබිලෙක්නේ,Gender
වේසියෙක්,Gender
නොදකින්,Gender
ඕකුන්,Gender
ලබ්බ,Gender
රෙද්ද,Gender
හොරිකඩ,Gender
පකෝ,Gender
පල,Gender
පක,Gender
තොපි,Gender
හිවල්ලු,Gender
තොපි,Gender
කාලකන්නි,Gender
බලු,Gender
හැත්ත,Gender
චූටී,Gender
පස්ස,Gender
යකෝ,Gender
තොපිට,Gender
හෙන,Gender
ගොන්,Disability
නොදකින්,Gender
පොඩි,Age
පරයෙක්,Gender
පොඩි,Age
හුජ්ජ,Gender
කොල්ලෙක්,Gender
හුජ්ජ,Gender
තෝ,Gender
තෝ,Gender
පොන්නයෙක්,Gender
තෝ,Gender
තෝ,Gender
කටුකන,Gender
බැල්ලි,Gender
තොට,Gender
අවජාතක,Gender
තං,Gender
පුකාදියත්,Gender
තොපි,Gender
කාළකන්නි,Gender
තෝ,Gender
නදකින්,Gender
හුජ්ජ,Gender
කොල්ලා,Gender
බිජ්ජ,Gender
පිෂ්ෂුඩ,Gender
ගොන්,Disability
කුනුහබ්බයක්වත්,Gender
තෝ,Gender
හුකේ,Gender
අයිසෙ,Gender
අම්මප,Gender
යකෝ,Gender
මුන්,Gender
මුං,Gender
පර,Gender
තොපි,Gender
තොපි,Gender
ඕනේ,Gender
තොපේ,Gender
තොපි,Gender
වැහිනැති,Gender
හෙණගහන්න,Gender
ඕනේ,Gender
ලබ්බෙ,Gender
යකෝ,Gender
තොට,Gender
වල්ලකින්,Gender
හුත්ත,Gender
සාප,Gender
හුක,Gender
හුකෑස්,Gender
ඌ,Gender
පුක,Gender
මෝඩ,Disability
මූසල,Gender
කාලකණ්ණිය,Gender
බඩුව,Gender
බඩුව,Gender
පකේ,Gender
නාකි,Gender
රිලවා,Gender
බැල්ලිගේ,Gender
පුතාලා,Gender
අවජාතක,Gender
බල්ලෝ,Gender
අවජාතක,Gender
බැල්ලිගේ,Gender
පුතාලාද,Gender
නොදකින්,Gender
ගොන්,Disability
හැත්ත,Gender
පල,Gender
පල,Gender
තෝ,Gender
ගොං,Gender
අවජාතක,Gender
නපුංසකයන්,Gender
මුන්ගෙ,Gender
රෙදි,Gender
හෙනගහපන්,Gender
කාලකණ්ණි,Gender
ගොනා,Gender
පයිය,Gender
වේසියේ,Gender
හැමිනෙන්න,Gender
අවජාතක,Gender
වේසියොත්,Gender
උඹව,Gender
පුකේ,Gender
ඇරලා,Gender
ගූ,Gender
කැරි,Gender
පඳුරු,Gender
බැල්ලි,Gender
වේසි,Gender
වෙනව,Gender
වේසි,Gender
සක්කිලි,Gender
හැත්ත,Gender
හැතිකරේට,Gender
දේශපාළුවොද,Gender
වල්,Gender
බල්ලෝ,Gender
ගොන්,Disability
බූරු,Gender
තකතීරු,Gender
ගොබ්බ,Gender
හැත්ත,Gender
කාලකණ්ණියා,Gender
මෝඩ,Disability
කිම්බ,Gender
හුකන්න,Gender
ගොබ්බ,Gender
තොපිම,Gender
රීගෙන,Gender
තොපෙ,Gender
පොන්න,Gender
ලොල්ල,Gender
සුප්පපන්,Gender
සක්කිලි,Gender
පොන්න,Gender
හුත්තිගෙ,Gender
පුතාලව,Gender
පුක,Gender
නොදී,Gender
චුත,Gender
වෙයන්,Gender
තොපිට,Gender
තොපිට,Gender
හෙන,Gender
තොපිට,Gender
යකෝ,Gender
සෙද්ද,Gender
වනචරයා,Gender
වේ,Gender
පයිය,Gender
පයිය,Gender
යකෝ,Gender
හුකනෝ,Gender
පයිය,Gender
පොන්න,Gender
ටෙෳකන්න,Gender
බිජ්ජ,Gender
කපන්,Gender
වැලලෙන්න,Gender
රෙද්ද,Gender
තමුසෙ,Gender
ඕයි,Gender
ඕයි,Gender
වේස,Gender
පිම්පිය,Gender
කුක්කොද,Gender
සක්කිලි,Gender
හුත්තො,Gender
පුපට,Gender
බිජ්ජ,Gender
හුත්තට,Gender
පක,Gender
හුකයි,Gender
නෙදකු,Gender
මේකිට,Gender
පොන්නකම,Gender
මැරියන්කෝ,Gender
ලබ්බ,Gender
පරපුටුවා,Gender
මෝඩ,Disability
වාහේ,Gender
පොන්න,Gender
ටහුකන්ඩ,Gender
තොපි,Gender
වෙසිගෙ,Gender
පුක,Gender
පකෝ,Gender
තොපි,Gender
පුකෙන්ද,Gender
තොපිට,Gender
හෙන,Gender
සාප,Gender
යකෝ,Gender
යකෝ,Gender
ඌ,Gender
පුකේ,Gender
උඹට,Gender
ඌ,Gender
තෝ,Gender
ඌ,Gender
සක්කිලියො,Gender
තොපි,Gender
අවජාතකයො,Gender
ලබ්බ,Gender
පුක,Gender
පයිය,Gender
පයිය,Gender
පයියේය,Gender
ගොන්,Disability
තොපේ,Gender
පොන්න,Gender
පකයා,Gender
පුක,Gender
පකෝ,Gender
සෙත්තපෝච්චි,Gender
මෝඩ,Disability
මූසලයෝ,Gender
සක්කිලිට,Gender
වේස,Gender
තොපි,Gender
පල,Gender
බැල්ලියෝ,Gender
මොන්ගල්ද,Gender
බිජ්ජ,Gender
මොඩ,Gender
ගෑනු,Gender
පොන්නයෝ,Gender
පට්ට,Gender
පඳුරු,Gender
වේසි,Gender
සක්කිලියෝ,Gender
හිවලෙක්,Gender
මුස්පේන්තුවා,Gender
නාකිච්චි,Gender
පුක,Gender
දෙනවා,Gender
පස්ස,Gender
පැත්තෙ,Gender
ගහගනිං,Gender
අම්බලං,Gender
පාලුවෝ,Gender
හුජ්ජ,Gender
පොල්,Gender
කිම්බකට,Gender
පොල්,Gender
කිම්බ,Gender
පොන්න,Gender
පුකේ,Gender
ගෝත,Gender
හැත්ත,Gender
පකෝ,Gender
තොපි,Gender
හැමණුනා,Gender
ගොන්,Disability
හැත්ත,Gender
ගොං,Gender
පොන්න,Gender
පොන්න,Gender
පකෝ,Gender
තොගෙ,Gender
කැරි,Gender
තම්බියෙක්වත්,Gender
තොගෙ,Gender
පකො,Gender
වේසි,Gender
අමු,Gender
තිරිසන්නු,Gender
බිජ්ජෙක්,Gender
ගොන්,Disability
පිස්සා,Gender
ගොන්,Disability
ලොම්බා,Gender
ගොනා,Gender
ගොන්,Disability
මෝඩයයා,Disability
මෝඩ,Disability
මැටි,Gender
ඌරු,Gender
තඩියා,Gender
බිජ්ජ,Gender
බිජ්ජ,Gender
මෝඩ,Disability
මී,Gender
හරකෙක්,Gender
පකෝ,Gender
සිපයි,Gender
අමු,Gender
සක්කිලි,Gender
රෙද්ද,Gender
යකෝ,Gender
ලබ්බට,Gender
මොංගල්ද,Gender
මොංගල්,Gender
කාළකන්නියො,Gender
නොදකින්,Gender
බඩුව,Gender
වේසි,Gender
මූසලී,Gender
ලබ්බක්,Gender
පලයන්,Gender
ගොන්,Disability
ගහ,Gender
ලබ්බ,Gender
කාලකණ්ණි,Gender
අවජාතක,Gender
තොපේ,Gender
වේස,Gender
බල්ලෙක්,Gender
කෙහෙල්,Gender
කොට,Gender
හෙන,Gender
අම්මගෙ,Gender
රෙද්දෙ,Gender
පුක,Gender
ලෙවකන්න,Gender
තෝ,Gender
පොන්නයෙක්,Gender
තෝ,Gender
තොගෙ,Gender
පයිය,Gender
බඩුවක්,Gender
වත්,Gender
මුට,Gender
මූ,Gender
අම්බ,Gender
ගොනා,Gender
බූරු,Gender
හුකන්නලාට,Gender
තෝ,Gender
කාලකන්නි,Gender
බල්ලා,Gender
ජාන,Gender
විකෘති,Gender
ලබ්බක්,Gender
ලබ්බ,Gender
ගොන්,Disability
බිජ්ජව,Gender
බිජ්ජ,Gender
රෙද්ද,Gender
වේස,Gender
බැල්ලි,Gender
ජංගියත්,Gender
ගොන්,Disability
පුකෙනුත්,Gender
පරයගෙන්,Gender
සක්කිලි,Gender
හුජ්ජ,Gender
මූ,Gender
මෝඩ,Disability
මූසලයෙක්,Gender
අවජාතක,Gender
පිස්සු,Disability
විකාරකාරයො,Gender
තෝ,Gender
රෙද්ද,Gender
ඇටේ,Gender
සක්කිලි,Gender
බඩුව,Gender
පුක,Gender
හුත්තෙක්,Gender
වේසි,Gender
පකෝ,Gender
පිස්සු,Disability
හරකෙක්,Gender
හුක,Gender
මැටි,Gender
හරකා,Gender
මැටි,Gender
හරකෙක්,Gender
හුත්ත,Gender
ගොං,Gender
හැත්ත,Gender
තුක්,Gender
නොදකින්,Gender
හැත්ත,Gender
තොපිට,Gender
හුත්තවල්,Gender
පුක,Gender
හරක්,Gender
සක්කිලි,Gender
බල්ලා,Gender
බල්ලා,Gender
කැරි,Gender
හුකාන්,Gender
තොපිලා,Gender
ලබ්බේ,Gender
වහල්,Gender
පුක,Gender
දෙන,Gender
නපුන්සකයින්,Gender
හුකන,Gender
දේශපාලුවෝ,Gender
සුනඛයින්,Gender
රෙද්ද,Gender
හුජ්ජ,Gender
අගමැටි,Gender
අහවල්,Gender
ලබ්බක්,Gender
අවජාතක,Gender
බල්ලන්ගේ,Gender
වැහි,Gender
නැති,Gender
හෙන,Gender
අඩු,Gender
කුලේ,Gender
පර,Gender
හැත්ත,Gender
කාලකන්නියා,Gender
තොපි,Gender
අසූචි,Gender
තොනෙ,Gender
පුක,Gender
දෙන්න,Gender
පුක,Gender
උස්සන්,Gender
පලයන්,Gender
ගොන්,Disability
හරකා,Gender
තෝ,Gender
හුත්තා,Gender
පුකේ,Gender
නොදකින්,Gender
කාලකණ්ණි,Gender
තම්බි,Gender
හැත්ත,Gender
හුත්තී,Gender
පට්ට,Gender
මල්ට්ප්ල්ග්,Gender
වෙසී,Gender
බැල්ලි,Gender
හුත්තී,Gender
වල්,Gender
හැත්ත,Gender
සක්කිලි,Gender
නාකි,Gender
විසේ,Gender
පුකේ,Gender
අමාරුවක්,Gender
පජාත,Gender
හැත්ත,Gender
පොන්නයෙක්,Gender
වල්,Gender
බැල්ලිට,Gender
වසලයන්ට,Gender
වේස,Gender
මෝඩ,Disability
හැත්ත,Gender
යකෝ,Gender
අවජාතක,Gender
සක්කිලි,Gender
හැත්ත,Gender
වලපල්ලට,Gender
කාලකන්නයි,Gender
පජාත,Gender
හැත්ත,Gender
පාරෙරෙනවුන්,Gender
වේසිගේ,Gender
පර,Gender
හැත්ත,Gender
ගෑණි,Gender
හුත්තො,Gender
රෙද්ද,Gender
පල්ලෙන්,Gender
වේස,Gender
ගෑණියෙක්,Gender
පොන්න,Gender
පුකයි,Gender
චාටර්,Gender
වහලා,Gender
තවුසේ,Gender
තවුසේට,Gender
තෝ,Gender
වහල්,Gender
කම්,Gender
කම්බ,Gender
හොරාට,Gender
බුරුවෝ,Gender
මැරියන්,Gender
කාලකන්නියා,Gender
තොපි,Gender
මහපොලොවට,Gender
බරක්,Gender
මිනිහෝ,Gender
සක්කිලි,Gender
පරයා,Gender
සක්කිලි,Gender
ලබ්බෙ,Gender
පඩ,Gender
ගඳයි,Gender
හරක්,Gender
හැමිනෙන්න,Gender
පොන්සියා,Gender
නපුන්සකයා,Gender
පොන්නයා,Gender
නොදකින්,Gender
සක්කිලියා,Gender
නොදකින්,Gender
පුක,Gender
අං,Gender
පහේ,Gender
පිං,Gender
ගොනා,Gender
පොන්න,Gender
පකෝ,Gender
හුකන්න,Gender
තොට,Gender
පුක,Gender
ඉරාගෙන,Gender
ගෝතයා,Gender
හුත්තො,Gender
පුක,Gender
ගොන්,Disability
බිජ්ජො,Gender
හැමිනෙනවද,Gender
කැරි,Gender
පක්කු,Gender
කාලකණ්නි,Gender
හිඟන,Gender
හැත්ත,Gender
පල,Gender
තෝ,Gender
ගොන්,Disability
ටහුකන්ඩ,Gender
පරයා,Gender
කාලකන්නි,Gender
හැත්ත,Gender
කාලකණ්ණි,Gender
කිම්බ,Gender
මෝඩ,Disability
රෙද්ද,Gender
කුණුහබ්බයක්,Gender
ගෑණි,Gender
නොදකින්,Gender
අවජාතක,Gender
වේසිගේ,Gender
පුක,Gender
පුකදෙන,Gender
සක්කිලි,Gender
තොපිටනම්,Gender
කෑල්ල,Gender
පලයන්,Gender
යකෝ,Gender
බිජ්ජ,Gender
බිජ්ජ,Gender
බිජු,Gender
නොදකින්,Gender
බයියෝ,Gender
බල්ලෝ,Gender
ගොන්,Disability
තෝ,Gender
තොට,Gender
වේසිගෙ,Gender
තොපි,Gender
ගෙ,Gender
පුතෝ,Gender
ගොන්,Disability
මොරාල්,Gender
මෝඩ,Disability
යක්කු,Gender
ගොන්,Disability
අඩු,Gender
කුලෙ,Gender
හැත්ත,Gender
පුක,Gender
කහනවා,Gender
වේසියන්ටයි,Gender
පිම්පියන්ටයි,Gender
අවජාතක,Gender
හැත්ත,Gender
ලබ්බ,Gender
කාලකණ්ණි,Gender
වේස,Gender
පයිය,Gender
ලෙවකන්න,Gender
බඩුකෙලි,Gender
පොන්නයා,Gender
පුක,Gender
පුක,Gender
හැතිකරයට,Gender
බඩු,Gender
කෑලි,Gender
රෙද්ද,Gender
බිජ්ජ,Gender
පලයව්කො,Gender
මකබැවිලා,Gender
පලයව්,Gender
කාලකාන්නි,Gender
ලබ්බවල්,Gender
පුකයි,Gender
මෝඩ,Disability
මරිමෝල්,Gender
හුත්තකටම,Gender
ගොන්,Disability
බිජ්ජා,Gender
පකෝ,Gender
මී,Gender
හරක්,Gender
වේසකමේ,Gender
පුක,Gender
රෙද්ද,Gender
කැරිම,Gender
පකේ,Gender
හැත්ත,Gender
තෝ,Gender
පොන්න,Gender
මෝඩයෙක්,Disability
අඩු,Gender
කුලේ,Gender
පර,Gender
හැත්ත,Gender
බූරුවෝ,Gender
තෝ,Gender
මැරියක්,Gender
මැරියන්,Gender
අවජාතක,Gender
වේස,Gender
බල්ලෙක්,Gender
පුක,Gender
බිජ්ජ,Gender
පලයන්,Gender
සාප,Gender
වඳ,Gender
වේසි,Gender
පිස්සා,Gender
පුක,Gender
තමුසෙ,Gender
වැලලෙන්න,Gender
රෙද්ද,Gender
මොඩයා,Gender
බූරුවා,Gender
ගොනා,Gender
පිස්සා,Gender
අමන,Gender
කාලකන්නි,Gender
නාකි,Gender
කාලකන්නි,Gender
හැත්තට,Gender
මෝඩ,Disability
පුක,Gender
උට්ටො,Gender
වේස,Gender
හැත්ත,Gender
තෝ,Gender
මරන්න,Gender
තෝ,Gender
පකෝ,Gender
තෝ,Gender
පකයා,Gender
නොදොමකින්,Gender
තෝ,Gender
වනචර,Gender
රෙද්ද,Gender
වාතයක්,Gender
ගූ,Gender
තොට,Gender
තෝ,Gender
හුත්ත,Gender
වහ,Gender
තෝ,Gender
පොල්,Gender
බූරුවා,Gender
වේස,Gender
පුක,Gender
හැමිනෙන්න,Gender
පයිය,Gender
හම්පඩයො,Gender
ලබ්බ,Gender
සාප,Gender
වෙවා,Gender
පස්ස,Gender
පොන්න,Gender
පයිය,Gender
පුකේ,Gender
පුන්නක්කු,Gender
රාලලා,Gender
ටහිකේ,Gender
කැ,Gender
පුකක්නෙ,Gender
වනචරයා,Gender
තෝ,Gender
